timestamp,gala_gopher_cpu_total_used_per,gala_gopher_block_read_bytes,gala_gopher_block_write_bytes,gala_gopher_cpu_iowait_msec,gala_gopher_cpu_irq_msec,gala_gopher_cpu_net_rx,gala_gopher_cpu_rcu,gala_gopher_cpu_sched,gala_gopher_cpu_softirq_msec,gala_gopher_cpu_system_msec,gala_gopher_cpu_timer,gala_gopher_cpu_user_msec,gala_gopher_fs_Free,gala_gopher_fs_IFree,gala_gopher_fs_IUsed,gala_gopher_fs_UsePer,gala_gopher_fs_Used,gala_gopher_mem_active_kB,gala_gopher_mem_available_kB,gala_gopher_mem_buffers_kB,gala_gopher_mem_cache_kB,gala_gopher_mem_free_kB,gala_gopher_mem_inactive_kB,gala_gopher_mem_swap_free_kB,gala_gopher_mem_swap_util,gala_gopher_mem_util,gala_gopher_net_tcp_curr_estab,gala_gopher_net_tcp_in_segs,gala_gopher_net_tcp_out_segs,gala_gopher_net_tcp_retrans_segs,gala_gopher_net_udp_indata_grams,gala_gopher_net_udp_outdata_grams,gala_gopher_nic_rx_bytes,gala_gopher_nic_rx_packets,gala_gopher_nic_rxspeed_KB,gala_gopher_nic_tx_bytes,gala_gopher_nic_tx_packets,gala_gopher_nic_txspeed_KB
1682521200,33.09,0,503808,20,20,74,1182,301,0,270,86,730,2847928,818476,724,10,301004,7981600,1828168,47848,2693588,223480,7175296,8,100,81.17,49,483,485,0,0,0,4447,18,0.87,0,0,0
1682521500,33.15,0,499712,10,30,98,481,399,0,130,275,230,2847928,818476,724,10,301004,7982712,1907132,44568,2604564,379720,7015920,132,100,80.76,47,414,416,0,0,0,1149,7,0.22,0,0,0
1682521800,35.23,0,278528,70,10,64,855,389,10,200,178,400,2847928,818476,724,10,301004,7984852,1885040,45964,2737424,221912,7170636,300,100,80.91,49,548,552,0,0,0,496,6,0.1,0,0,0
1682522100,33.71,0,368640,0,30,2,736,45,0,0,98,5440,2847928,818476,724,10,301004,7943168,1894208,46548,2773280,193928,7240380,12,100,80.86,49,496,498,0,0,0,5262,22,1.03,0,0,0
1682522400,32.54,0,208896,0,20,0,634,44,0,10,88,5440,2847928,818476,724,10,301004,7972496,1884636,44992,2630028,335896,7071652,92,100,80.88,49,459,461,0,0,0,2451,11,0.48,0,0,0
1682522700,33.52,0,503808,10,20,189,611,457,0,110,227,390,2847928,818476,724,10,301004,7975668,1872300,46400,2760336,192208,7213840,400,100,80.95,49,564,566,0,0,0,2609,20,0.51,0,0,0
1682523000,33.24,4096,24408064,90,30,277,664,426,0,150,316,220,2847928,818476,724,10,301004,7938312,1861524,46872,2748432,194624,7248532,36,100,81.01,47,520,522,0,0,0,2720,15,0.53,0,0,0
1682523300,32.45,0,249856,0,20,3,655,45,0,0,89,5440,2847928,818476,724,10,301004,7949620,1841308,47204,2737856,188584,7241668,28,100,81.11,47,514,516,0,1,1,1462,11,0.29,90,1,0.02
1682523600,33.61,0,1765376,0,20,16,617,342,0,150,255,360,2847928,818476,724,10,301004,7941868,1850032,47232,2731480,207116,7231948,16,100,81.04,47,548,550,0,0,0,2463,11,0.48,0,0,0
1682523900,38.88,0,249856,0,20,10,1359,43,0,0,91,5410,2847928,818476,724,10,301004,7920368,1824056,47692,2745688,170316,7289880,180,100,81.18,48,4244,4248,0,2,2,10942,31,2.14,3698,20,0.72
1682524200,34.43,0,217088,10,10,253,505,304,10,80,230,440,2839736,818476,724,10,309196,7904108,1832724,48044,2761720,173568,7302864,336,100,81.05,49,595,597,0,0,0,1311,9,0.26,0,0,0
1682524500,33.41,0,315392,0,20,95,705,382,0,230,272,520,2839736,818476,724,10,309196,7916424,1823044,48152,2729428,203456,7262900,4,100,81.07,47,443,445,0,0,0,353,3,0.07,0,0,0
1682524800,33.5,0,405504,0,20,109,866,349,0,230,177,550,2839736,818476,724,10,309196,7924024,1884220,47588,2661400,336972,7118792,1000,99.99,80.65,53,479,481,0,0,0,4267,15,0.83,0,0,0
1682525100,33.39,0,221184,0,20,0,729,44,0,0,89,5430,2839736,818476,724,10,309196,7930104,1865972,49072,2798620,179560,7266284,1260,99.98,80.77,51,413,415,0,0,0,2337,9,0.46,0,0,0
1682525400,33.32,0,114688,20,20,158,718,398,10,180,313,260,2839736,818476,724,10,309196,7861360,1861048,48796,2780712,191624,7324172,4,100,80.81,47,470,472,0,0,0,970,12,0.19,0,0,0
1682525700,35.53,0,217088,0,20,0,689,48,0,0,91,5440,2839736,818476,724,10,309196,7852064,1848092,49100,2754384,205428,7321332,4,100,80.89,49,411,413,0,0,0,4559,20,0.89,0,0,0
1682526000,34.45,0,233472,0,20,124,977,396,0,190,155,340,2833140,818476,724,11,315792,7841832,1835408,48908,2768880,186400,7350452,20,100,80.92,47,508,510,0,0,0,1431,12,0.28,0,0,0
1682526300,32.69,0,237568,0,20,67,909,278,0,230,63,300,2833140,818476,724,11,315792,7850436,1814176,48816,2759824,176328,7353504,0,100,81.04,47,480,482,0,0,0,2320,10,0.45,0,0,0
1682526600,35.62,0,1777664,20,20,295,961,462,10,210,227,510,2833140,818476,724,11,315792,7854196,1809676,49724,2717580,215900,7307628,96,100,81.05,47,1913,1915,0,0,0,3553,12,0.69,0,0,0
1682526900,40.28,2801664,147456,0,30,1287,1760,617,20,290,280,1100,2833140,818476,724,11,315792,7860436,1809812,50936,2765160,168044,7350836,68,100,81.05,47,4197,4198,1,0,1,1656,21,0.32,90,1,0.02
1682527200,33.75,0,139264,0,30,114,865,325,10,170,156,550,2833140,818476,724,11,315792,7858116,1793036,50620,2741684,175604,7346212,20,100,81.15,51,474,476,0,0,0,1743,8,0.34,0,0,0
1682527500,35.84,1241088,331776,0,20,201,478,365,10,70,323,720,2864312,818476,724,10,284620,7851856,1824000,50680,2727632,204108,7324216,13728,99.83,81.06,47,489,491,0,0,0,6505,24,1.27,0,0,0
1682527800,32.12,0,520192,0,10,14,406,285,0,60,241,280,2864312,818476,724,10,284620,7952564,1896584,46384,2592068,420492,7010464,36,100,80.57,49,431,433,0,0,0,2806,16,0.55,0,0,0
1682528100,32.17,0,282624,10,30,279,716,328,10,200,158,160,2864312,818476,724,10,284620,7954940,1880420,47692,2720548,271416,7152864,196,100,80.69,51,485,487,0,0,0,657,8,0.13,0,0,0
1682528400,33.46,16384,262144,0,20,170,1096,357,0,250,108,470,2864312,818476,724,10,284620,7959332,1866948,45792,2582716,399784,7019224,188,100,80.77,49,434,436,0,0,0,3315,17,0.65,0,0,0
1682528700,33.18,0,290816,0,30,12,584,164,10,30,88,2700,2864312,818476,724,10,284620,7955200,1858560,47576,2735664,217088,7205400,504,99.99,80.94,49,488,490,0,0,0,3473,19,0.68,0,0,0
1682529000,33.51,69632,241664,0,20,1,755,312,10,140,84,560,2864312,818476,724,10,284620,7945712,1850216,48500,2760624,183924,7248416,4,100,80.99,51,459,461,0,0,0,2380,17,0.46,0,0,0
1682529300,37.15,0,376832,0,20,138,899,376,10,160,169,1000,2864312,818476,724,10,284620,7929188,1841000,48576,2748296,189684,7262380,8,100,81.03,48,566,570,0,0,0,5987,26,1.17,0,0,0
1682529600,38.04,0,1884160,20,20,273,1181,369,10,170,224,1130,2864312,818476,724,10,284620,7922864,1821164,48928,2748672,172332,7290120,12,100,81.14,47,3394,3398,0,0,0,1187,14,0.23,0,0,0
1682529900,36.31,0,208896,20,30,426,1278,496,10,250,242,360,2864312,818476,724,10,284620,7916708,1824304,48868,2748940,177748,7289020,44,100,81.1,51,2315,2317,0,0,0,1955,10,0.38,0,0,0
1682530200,32.89,0,294912,0,30,6,646,45,0,0,90,5440,2856120,818476,724,10,292812,7914020,1805892,49156,2731744,189600,7280416,8,100,81.13,49,511,514,0,0,0,6099,19,1.19,0,0,0
1682530500,33.59,0,163840,0,20,198,735,341,0,240,274,600,2856120,818476,724,10,292812,7901000,1802128,49228,2706240,215644,7262040,8,100,81.13,47,527,529,0,0,0,1600,12,0.31,0,0,0
1682530800,32.83,0,192512,0,10,183,319,260,0,40,219,470,2856120,818476,724,10,292812,7899524,1795560,49032,2718268,200156,7279528,4,100,81.15,49,462,464,0,0,0,985,13,0.19,0,0,0
1682531100,35.44,0,24551424,0,30,15,709,48,10,0,91,5410,2856120,818476,724,10,292812,7908216,1843200,47312,2645792,328012,7143520,128,100,80.81,50,455,459,0,2,2,11481,39,2.24,3631,19,0.71
1682531400,33.18,4096,24633344,0,20,255,660,387,0,130,224,410,2856120,818476,724,10,292812,7908180,1829736,38800,2334516,650100,6838880,72,100,80.8,47,510,512,0,0,0,3546,28,0.69,0,0,0
1682531700,33.33,0,24760320,0,20,84,955,330,0,240,130,530,2856120,818476,724,10,292812,7916752,1817712,40092,2472072,499140,6980876,236,100,80.87,47,476,478,0,0,0,1855,10,0.36,0,0,0
1682532000,33.2,0,331776,0,30,207,426,398,10,120,347,230,2856120,818476,724,10,292812,7919024,1808672,41612,2602720,359952,7122172,408,100,80.92,55,490,492,0,0,0,5072,27,0.99,0,0,0
1682532300,34.18,0,180224,0,30,1,656,45,0,0,87,5430,2856120,818476,724,10,292812,7926536,1793900,43376,2738692,208172,7262212,608,99.99,81.01,53,578,581,0,1,1,1774,9,0.35,90,1,0.02
1682532600,34.36,0,1843200,0,30,140,432,413,10,80,335,390,2847928,818476,724,10,301004,7857032,1769100,43800,2734716,193452,7342300,4,100,81.12,47,462,464,0,0,0,3651,22,0.71,0,0,0
1682532900,35.29,0,192512,0,20,570,1196,464,20,140,211,540,2847928,818476,724,10,301004,7851304,1772168,45172,2729724,199792,7339744,208,100,81.11,51,2522,2524,0,0,0,6690,28,1.31,0,0,0
1682533200,32.23,0,167936,0,20,98,729,303,10,130,143,160,2847928,818476,724,10,301004,7839248,1756860,46528,2726868,185752,7363600,12,100,81.21,49,468,470,0,0,0,1251,9,0.24,0,0,0
1682533500,33.24,0,385024,0,30,99,766,402,10,220,158,200,2847928,818476,724,10,301004,7835980,1748192,47932,2728140,174748,7375144,0,100,81.26,47,410,412,0,0,0,959,12,0.19,0,0,0
1682533800,32.26,0,380928,0,10,260,716,255,0,110,84,600,2847928,818476,724,10,301004,7832288,1733120,48312,2711136,177688,7371796,32,100,81.35,47,542,544,0,0,0,6209,21,1.21,0,0,0
1682534100,33.96,0,12288,20,30,137,1041,398,0,230,155,280,2847928,818476,724,10,301004,7815256,1800856,44656,2613156,348744,7214660,60,100,80.9,47,508,510,0,0,0,2799,8,0.55,0,0,0
1682534400,34.02,0,118784,0,20,1,664,44,0,0,85,5440,2847928,818476,724,10,301004,7676224,1789600,5040,1547660,1483244,6250176,72,100,80.72,47,426,428,0,0,0,952,5,0.19,0,0,0
1682534700,33.99,6950912,299008,10,20,224,893,375,10,240,198,180,2847928,818476,724,10,301004,7681608,1768536,6820,1717708,1283764,6440880,220,100,80.89,50,573,578,0,2,2,12630,50,2.47,3697,20,0.72
1682535000,33.36,0,204800,10,20,139,948,348,10,280,226,270,2847928,818476,724,10,301004,7685240,1763720,8360,1850196,1143328,6574840,372,100,80.93,49,515,519,0,0,0,2577,13,0.5,0,0,0
1682535300,32.18,0,442368,0,10,29,788,295,10,190,83,200,2847928,818476,724,10,301004,7691916,1759256,10324,1989288,997428,6709888,524,99.99,80.96,47,479,481,0,0,0,2398,11,0.47,0,0,0
1682535600,35.43,0,1896448,40,20,171,766,362,0,270,274,550,2847928,818476,724,10,301004,7693784,1744200,11668,2120952,850396,6851272,696,99.99,81.05,47,470,471,1,0,0,3152,15,0.62,0,0,0
